question_id,feature1,feature2,difficulty_level
1,0.73429,16.00404,0
2,0.35683,20.71504,2
3,0.72559,19.74258,1
4,0.06104,25.01066,1
5,0.87012,14.45748,0
6,0.67539,18.06884,2
7,0.79558,16.55814,1
8,0.44727,22.69624,1
9,0.74721,22.61696,1
10,0.42635,21.19209,2
11,0.76886,20.35488,1
12,0.50125,24.56966,1
13,0.68289,18.47265,2
14,0.07504,22.83545,2
15,0.46193,19.21247,1
16,0.20221,23.81417,2
17,0.26532,18.95531,1
18,0.21191,24.38757,2
19,0.29938,22.37868,1
20,0.53130,20.71296,2
21,0.13234,22.97982,2
22,0.49529,20.17345,1
23,0.42624,23.66745,0
24,0.88630,16.93887,0
25,0.95364,16.37853,1
26,0.25455,21.29075,1
27,0.77905,14.28051,1
28,0.75556,13.44605,0
29,0.54598,23.21340,2
30,0.39891,23.23926,2
31,0.71153,16.85467,2
32,0.82094,21.31650,1
33,0.21001,26.96830,2
34,0.24037,19.75497,1
35,0.41629,23.58578,2
36,0.93896,17.13493,0
37,0.31710,22.32987,2
38,0.52437,24.28217,1
39,0.40822,18.44088,1
40,0.23922,21.47217,2
41,0.32608,22.55441,2
42,0.12954,23.21177,2
43,0.57915,18.36024,0
44,0.16928,24.38223,2
45,0.17439,31.88802,2
46,0.27833,26.01331,1
47,0.45854,21.71020,1
48,0.29487,22.51774,1
49,0.14055,22.94303,2
50,0.08941,27.98814,2
51,0.57411,20.08905,1
52,0.48854,21.70946,1
53,0.77834,13.88399,2
54,0.72847,19.39765,2
55,0.67327,18.86166,2
56,0.71218,16.62410,1
57,0.44406,16.98821,2
58,0.42226,23.03244,2
59,0.89173,13.93947,0
60,0.44747,26.05524,0
61,0.45696,20.65110,0
62,0.04064,22.77871,2
63,0.73730,22.45073,0
64,0.11095,21.53729,2
65,0.31766,18.60203,0
66,0.06308,25.80428,1
67,0.63533,19.33330,1
68,0.65307,25.89835,1
69,0.32377,22.76426,2
70,0.30111,21.69797,1
71,0.35714,18.66786,1
72,0.32570,20.49259,1
73,0.63470,17.47695,1
74,0.22426,25.38277,2
75,0.69803,19.18866,0
76,0.58504,17.69802,0
77,0.67106,21.02903,2
78,0.61598,18.38928,2
79,0.62450,17.77899,2
80,0.24338,23.62781,1
81,0.36851,18.76693,1
82,0.18745,21.86872,1
83,0.04057,23.29752,1
84,0.03987,25.84251,0
85,0.14960,22.25956,0
86,0.36394,21.66809,0
87,0.25709,22.41669,1
88,0.25794,32.17463,2
89,0.23881,27.31161,1
90,0.15024,29.41751,0
91,0.09127,25.27972,1
92,0.59138,19.26148,1
93,0.22631,23.50711,2
94,0.20732,21.85343,1
95,0.56103,19.73100,2
96,0.49924,18.24831,2
97,0.37064,18.46247,2
98,0.31084,22.38353,1
99,0.29854,20.26961,0
100,0.32216,23.04980,0
101,0.80141,19.30260,0
102,0.66899,18.79106,1
103,0.64144,22.85966,2
104,0.31124,21.47264,2
105,0.71403,19.95237,0
106,0.60652,21.05208,2
107,0.70320,17.29707,1
108,0.33901,22.21874,1
109,0.31202,20.89487,0
